"Country","Month","Date","Depth","Day"
"Bhutan","April",2008-04-01,0.882,1
"Bhutan","April",2009-04-01,1.609,1
"Bhutan","April",2010-04-01,1.593,1
"Bhutan","April",2011-04-01,0.178,1
"Bhutan","April",2012-04-01,-0.241,1
"Bhutan","April",2013-04-01,0.446,1
"Bhutan","April",2014-04-01,1.481,1
"Bhutan","April",2015-04-01,-0.633,1
"Bhutan","April",2016-04-01,1.591,1
"Bhutan","April",2017-04-01,0.526,1
"Bhutan","April",2018-04-01,0.78,1
"Bhutan","April",2019-04-01,0.831,1
"Bhutan","May",2000-05-01,0.553,1
"Bhutan","May",2001-05-01,0.354,1
"Bhutan","May",2002-05-01,-0.168,1
"Bhutan","May",2003-05-01,-0.18,1
"Bhutan","May",2004-05-01,1.115,1
"Bhutan","May",2005-05-01,-0.606,1
"Bhutan","May",2006-05-01,0.965,1
"Bhutan","May",2007-05-01,1.84,1
"Bhutan","May",2008-05-01,1.033,1
"Bhutan","May",2009-05-01,0.604,1
"Bhutan","May",2010-05-01,1.009,1
"Bhutan","May",2011-05-01,0.703,1
"Bhutan","May",2012-05-01,1.203,1
"Bhutan","May",2013-05-01,0.623,1
"Bhutan","May",2014-05-01,1.44,1
"Bhutan","May",2015-05-01,0.701,1
"Bhutan","May",2016-05-01,0.532,1
"Bhutan","May",2017-05-01,1.045,1
"Bhutan","May",2018-05-01,0.657,1
"Bhutan","May",2019-05-01,1.115,1
"Bhutan","June",2000-06-01,0.578,1
"Bhutan","June",2001-06-01,0.569,1
"Bhutan","June",2002-06-01,0.983,1
"Bhutan","June",2003-06-01,0.296,1
"Bhutan","June",2004-06-01,0.524,1
"Bhutan","June",2005-06-01,1.159,1
"Bhutan","June",2006-06-01,0.806,1
"Bhutan","June",2007-06-01,0.816,1
"Bhutan","June",2008-06-01,0.729,1
"Bhutan","June",2009-06-01,1.426,1
"Bhutan","June",2010-06-01,1.193,1
"Bhutan","June",2011-06-01,1,1
"Bhutan","June",2012-06-01,1.038,1
"Bhutan","June",2013-06-01,1.964,1
"Bhutan","June",2014-06-01,1.684,1
"Bhutan","June",2015-06-01,1.364,1
"Bhutan","June",2016-06-01,1.248,1
"Bhutan","June",2017-06-01,1.157,1
"Bhutan","June",2018-06-01,1.863,1
"Bhutan","June",2019-06-01,2.648,1
"Bhutan","July",2000-07-01,0.17,1
"Bhutan","July",2001-07-01,0.758,1
"Bhutan","July",2002-07-01,0.595,1
"Bhutan","July",2003-07-01,0.452,1
"Bhutan","July",2004-07-01,-0.266,1
"Bhutan","July",2005-07-01,0.834,1
"Bhutan","July",2006-07-01,1.431,1
"Bhutan","July",2007-07-01,0.774,1
"Bhutan","July",2008-07-01,0.7,1
"Bhutan","July",2009-07-01,1.838,1
"Bhutan","July",2010-07-01,1.34,1
"Bhutan","July",2011-07-01,0.71,1
"Bhutan","July",2012-07-01,0.801,1
"Bhutan","July",2013-07-01,1.387,1
"Bhutan","July",2014-07-01,1.352,1
"Bhutan","July",2015-07-01,1.467,1
"Bhutan","July",2016-07-01,0.966,1
"Bhutan","July",2017-07-01,1.263,1
"Bhutan","July",2018-07-01,1.607,1
"Bhutan","July",2019-07-01,1.223,1
